Country,Movie_Count
United States,366
Canada,92
Indonesia,76
United Kingdom,72
France,32
Japan,28
Spain,28
Germany,27
Thailand,25
Australia,25
South Korea,21
Malaysia,18
India,15
Philippines,15
China,11
Sweden,10
Mexico,9
New Zealand,8
Italy,8
South Africa,7
Norway,7
Bulgaria,6
Taiwan,6
Singapore,5
Hong Kong,4
USA,4
Ireland,4
Poland,4
Hungary,4
United Arab Emirates,4
Romania,4
Czech Republic,3
nan,3
Belgium,3
Finland,2
Russia,2
Chile,2
Peru,2
Croatia,2
Argentina,2
Malta,2
Vietnam,2
Turkey,1
Egypt,1
Brazil,1
Jordan,1
Kuwait,1
Iran,1
Qatar,1
Dominican Republic,1
Netherlands,1
Lithuania,1
Pakistan,1
Denmark,1
West Germany,1
Serbia,1
Uruguay,1
