Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error
Back in Action,Yes,2025-01-17,"313,000,000",1:54,164700000,Back in Action,Back in Action,2025.0,PG-13,17 Jan 2025,114 min,"Action, Comedy",Seth Gordon,"Seth Gordon, Brendan O'Brien, Lillian Yu","Jamie Foxx, Cameron Diaz, McKenna Roberts",Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.,"English, Polish",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMWQ4YWYxYTAtZTlhNC00Nzc3LWE3OWUtZjY5MThlNWNiYTBiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,5.9,"59,038",tt21191806,movie,,,,,True,
STRAW,Yes,2025-06-06,"185,200,000",1:48,102900000,STRAW,Straw,2025.0,TV-MA,06 Jun 2025,105 min,"Drama, Thriller",Tyler Perry,Tyler Perry,"Taraji P. Henson, Sherri Shepherd, Teyana Taylor","A single mother navigates a series of unfortunate events, leading her down an unforeseen path where she becomes embroiled in a situation she never envisioned, finding herself at the center of suspicion in an indifferent world.",English,United States,,https://m.media-amazon.com/images/M/MV5BNmZjOTU5MGQtYTcyMi00ZGJjLTk4NzQtZTcwMmI0MTczNTUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,6.5,"26,130",tt32550101,movie,,,,,True,
The Life List,Yes,2025-03-28,"198,900,000",2:05,95500000,The Life List,The Life List,2025.0,PG-13,28 Mar 2025,123 min,"Comedy, Drama, Romance",Adam Brooks,"Adam Brooks, Lori Nelson Spielman","Sofia Carson, Kyle Allen, Sebastian De Souza","A woman revisits her childhood aspirations, endeavoring to achieve her old goals, only to discover that pursuing these lifelong dreams takes her on an unforeseen and surprising journey.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMjNhNzUyMTQtYTFiZS00NzM2LWI3YTgtZmI1ZTA1MDUzMzBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.8,"29,252",tt2172954,movie,,,,,True,
Exterritorial,Yes,2025-04-30,"159,000,000",1:49,87500000,Exterritorial,Exterritorial,2025.0,TV-MA,30 Apr 2025,109 min,"Action, Mystery, Thriller",Christian Zübert,Christian Zübert,"Jeanne Goursaud, Dougray Scott, Lera Abova","When a soldier's son vanishes at a US consulate, she illegally remains on the premises to search for him, unknowingly entangling herself in a dangerous conspiracy.","German, English",Germany,,https://m.media-amazon.com/images/M/MV5BYjVkMzI2MjAtYzA3NC00OGE1LWEyZDMtODc0YTc5NTZjYzFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,"15,674",tt30876483,movie,,,,,True,
Havoc,Yes,2025-04-25,"154,900,000",1:47,86900000,Havoc,Havoc,2025.0,TV-MA,25 Apr 2025,107 min,"Action, Crime, Drama",Gareth Evans,Gareth Evans,"Tom Hardy, Jessie Mei Li, Justin Cornwell","After a drug deal gone wrong, a bruised detective must fight his way through the criminal underworld to rescue a politician's estranged son, unraveling a deep web of corruption and conspiracy that ensnares his entire city.",English,"United Kingdom, United States",,https://m.media-amazon.com/images/M/MV5BZWJjMjdhNGEtZjEyMi00OTg2LTllMzQtN2JlZWNjYzI4YzFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,5.7,"59,808",tt14123284,movie,,,,,True,
The Secret Life of Pets 2,No,,"106,800,000",1:26,74500000,The Secret Life of Pets 2,The Secret Life of Pets 2,2019.0,PG,07 Jun 2019,86 min,"Animation, Adventure, Comedy","Chris Renaud, Jonathan del Val","Brian Lynch, Ken Daurio, Cinco Paul","Patton Oswalt, Kevin Hart, Harrison Ford","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",English,"Japan, United States",11 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2NzM0MjA0MTJeQTJeQWpwZ15BbWU4MDk1MzYwNzYz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,6.4,"75,050",tt5113040,movie,,"$158,980,250",,,True,
The Electric State,Yes,2025-03-14,"158,200,000",2:08,74200000,The Electric State,The Electric State,2025.0,PG-13,14 Mar 2025,125 min,"Action, Adventure, Comedy","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Simon Stålenhag","Chris Pratt, Millie Bobby Brown, Woody Harrelson","An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BZDU5YWE3MmItMGI0Ny00MWQ4LWE3NDktMjRkNDk5YmFjYTk2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,5.9,"74,938",tt7766378,movie,,,,,True,
Counterattack // Contraataque,Yes,2025-02-28,"101,000,000",1:25,71300000,Counterattack,Counterattack,1996.0,,,,War,Ali Asghar Shadravan,"Ali Asghar Shadravan, Ali Tavakkol Nia","Hosein Gil, Reza Safayipoor, Ali Tavakkol Nia",,Persian,Iran,,https://m.media-amazon.com/images/M/MV5BMmM5ZmQ2YWQtMWJhOS00NGQ1LTg3NzUtOTY3NDZiMDNjMGIzXkEyXkFqcGdeQXVyNDY2MDMwMjU@._V1_SX300.jpg,[],,,12,tt1899265,movie,,,,,True,
Ad Vitam,Yes,2025-01-10,"114,000,000",1:38,69800000,Ad Vitam,Ad Vitam,2025.0,TV-MA,10 Jan 2025,98 min,"Action, Crime, Drama",Rodolphe Lauga,"Guillaume Canet, Rodolphe Lauga, David Corona","Guillaume Canet, Stéphane Caillard, Nassim Lyes","After escaping an attempted murder, Franck Lazareff must find his wife Leo, who has been kidnapped by a mysterious group of armed men. He is caught up by his past and plunged into a state affair that is beyond him.",French,"France, Belgium",1 win total,https://m.media-amazon.com/images/M/MV5BZDEzZDcxYTAtN2YxZC00OGYzLWI3MDktNmEzYWJmMjQyNDBiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,5.9,"10,362",tt32138452,movie,,,,,True,
Despicable Me 4,No,,"109,400,000",1:34,69800000,Despicable Me 4,Despicable Me 4,2024.0,PG,03 Jul 2024,94 min,"Animation, Adventure, Comedy","Chris Renaud, Patrick Delage","Mike White, Ken Daurio","Steve Carell, Kristen Wiig, Pierre Coffin","Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.","English, French",United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNzY0ZTlhYzgtOTgzZC00ZTg2LTk4NTEtZDllM2E2NGE5Njg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,6.2,"70,627",tt7510222,movie,,"$361,004,205",,,True,
