poster,title,country
https://m.media-amazon.com/images/M/MV5BZjZiNGUxNDUtN2QwZi00ZmE5LTgyZjctYzQwOTQ1NWY1MWViXkEyXkFqcGc@._V1_SX300.jpg,Infinity Pool,"Canada, Croatia, Hungary, United States, France"
https://m.media-amazon.com/images/M/MV5BZDIxMWUzOGMtMDBlZC00YzBjLTlkYjUtMTk0MjdmNDk3NTg4XkEyXkFqcGc@._V1_SX300.jpg,When a Stranger Calls (2006),United States
https://m.media-amazon.com/images/M/MV5BNDQ4MjQ4OTMwMF5BMl5BanBnXkFtZTcwOTYzNDc4Mw@@._V1_SX300.jpg,Let Me In (2010),"United Kingdom, United States, Sweden"
https://m.media-amazon.com/images/M/MV5BOTIxNTBhYTktYTNjNC00MDkyLTg3NTYtNzYyMDRhMWQ0MjJkXkEyXkFqcGc@._V1_SX300.jpg,The Unholy (2021),United States
https://m.media-amazon.com/images/M/MV5BMjNhNTlmYmYtYjcxZi00ZDU1LTkxMWYtYzFlMWMzY2RiODM1XkEyXkFqcGc@._V1_SX300.jpg,Constantine (2005),"United States, Germany"
https://m.media-amazon.com/images/M/MV5BMTM1ODgyOTI0NF5BMl5BanBnXkFtZTcwODgyMDY3OA@@._V1_SX300.jpg,A Haunted House (2013),United States
https://m.media-amazon.com/images/M/MV5BMWI4OWE1NDktMjI5OS00NzkyLTg1MzMtNWUwMDIyOWNkMmM0XkEyXkFqcGc@._V1_SX300.jpg,Rahsia,Malaysia
https://m.media-amazon.com/images/M/MV5BZmRiYWUyNGUtN2U5ZC00NTZiLTlmNjItZjVmZDY4MzhhMjEwXkEyXkFqcGc@._V1_SX300.jpg,No One Gets Out Alive,United Kingdom
https://m.media-amazon.com/images/M/MV5BYTFlOThmZWYtYTk4Yi00MzFlLWJhOTEtMTU0NTcxNWJiZjRhXkEyXkFqcGc@._V1_SX300.jpg,Things Heard & Seen,United States
https://m.media-amazon.com/images/M/MV5BNTAxNWViNDAtZmFjMC00YWJmLWE4YmYtMTNiNmFlOGIzMmM4XkEyXkFqcGc@._V1_SX300.jpg,The Devil's Deception // Talbis Iblis,Malaysia
https://m.media-amazon.com/images/M/MV5BMTBhNDcwNzYtOWE3Mi00MGU1LWI1YTAtOTJiZjIzODRjMjc2XkEyXkFqcGc@._V1_SX300.jpg,Brightburn,United States
https://m.media-amazon.com/images/M/MV5BMzc1Njc2NDc3NV5BMl5BanBnXkFtZTYwODYyNzI3._V1_SX300.jpg,The Amityville Horror (2005),United States
https://m.media-amazon.com/images/M/MV5BMmM1OGQwOTUtYWUxZi00ZDRkLTk5MGEtYzYxODBmMWI4M2M1XkEyXkFqcGc@._V1_SX300.jpg,Separation (2021),United States
https://m.media-amazon.com/images/M/MV5BYTRkOGU2NGUtZjRjOS00YjU5LThkZTMtNjNmNDZjNmNiMmVkXkEyXkFqcGc@._V1_SX300.jpg,The Bridge Curse // 女鬼橋 // 女鬼桥,Taiwan
https://m.media-amazon.com/images/M/MV5BNzk5YmQ1ZWEtNTM1MS00ZDE0LWExYzctNGI4YTU2ZjRiZGY5XkEyXkFqcGc@._V1_SX300.jpg,Susuk // Susuk: Kutukan Kecantikan,Indonesia
https://m.media-amazon.com/images/M/MV5BYmQ0YzhiNzEtNTNmYi00M2ZjLWJlZmUtNDMwNmQ1YjZkN2U4XkEyXkFqcGc@._V1_SX300.jpg,Deliver Us from Evil (2014),United States
https://m.media-amazon.com/images/M/MV5BMmU4MDkwNzMtNTIyMS00YjgwLThhZjctMzBiYzRkMTViMjdkXkEyXkFqcGc@._V1_SX300.jpg,The Queen of Black Magic (2019) // Ratu Ilmu Hitam,Indonesia
https://m.media-amazon.com/images/M/MV5BYWJlZDBhZWMtYTEyYy00ZjllLTkxNGYtN2U3MjAwYjBlNzQwXkEyXkFqcGc@._V1_SX300.jpg,Temurun,Indonesia
https://m.media-amazon.com/images/M/MV5BMmVhMTUzZjQtZTY0My00MDE2LWFkN2ItMDk4OTI1MWVkYmYyXkEyXkFqcGc@._V1_SX300.jpg,Dominion of Darkness // Kuasa Gelap,Indonesia
